uid,namedLocation,domainID,siteID,plotID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,subtypeSpecification,transectMeter,directionFromTransect,ninetyDegreeDistance,sampleLatitude,sampleLongitude,sampleGeodeticDatum,sampleCoordinateUncertainty,sampleElevation,sampleElevationUncertainty,date,editedDate,individualID,taxonID,scientificName,identificationQualifier,taxonRank,growthForm,vstTag,samplingProtocolVersion,measuredBy,identifiedBy,recordedBy,remarks,dataQF,publicationDate,release
0e1ae783-0775-4c70-a6ac-9a629545bd8e,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,491.1,Left,0.5,,,WGS84,,,,2015-08-31,2015-10-20,NEON.PLA.D02.BLAN.06290,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
04418c00-44b2-4a12-8aca-091f710f8a02,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,491,Left,0.5,,,WGS84,,,,2015-08-31,2015-10-20,NEON.PLA.D02.BLAN.06290,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
29a01147-d1e7-42be-9816-e1ad27c97774,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,484.1,Right,0.5,,,WGS84,,,,2015-08-31,2015-10-20,NEON.PLA.D02.BLAN.06295,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
c6f285db-5d8c-466e-982f-67ea4402df9e,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,484,Right,0.5,,,WGS84,,,,2015-08-31,2015-10-20,NEON.PLA.D02.BLAN.06295,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
31313bcc-ef8b-4e53-bae3-b0cafe908b20,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,491,Left,0.5,,,WGS84,,,,2015-11-18,2015-11-23,NEON.PLA.D02.BLAN.06290,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
a9025103-2c0b-4b64-9a35-50d70b73766b,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,469,Left,2,,,WGS84,,,,2015-11-18,2015-11-23,NEON.PLA.D02.BLAN.06297,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
433d8833-818e-4321-80a3-65fd0923e3cc,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,491,Left,0.5,,,WGS84,,,,2016-03-11,2016-04-21,NEON.PLA.D02.BLAN.06291,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
562e098a-328c-47d5-be43-ec2bacd22bac,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,484,Right,2,,,WGS84,,,,2016-03-11,2016-04-21,NEON.PLA.D02.BLAN.06299,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
2a028a4f-b07c-482c-813f-728f86b055e7,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,504,Right,0.5,,,WGS84,,,,2016-03-11,2016-04-21,NEON.PLA.D02.BLAN.06287,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
5f973a58-495d-4023-b9eb-39aa0a40649c,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,484,Right,0.5,,,WGS84,,,,2016-03-11,2016-04-21,NEON.PLA.D02.BLAN.06295,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
baa3c31f-cca8-4aad-a32a-d24e00129134,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,491,Left,0.5,,,WGS84,,,,2016-03-11,2016-04-21,NEON.PLA.D02.BLAN.06290,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
a273c032-8468-4fb8-9754-6805820876ef,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,469,Left,2,,,WGS84,,,,2016-03-11,2016-04-21,NEON.PLA.D02.BLAN.06297,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
45956ca8-98c3-431e-8123-dd3d52523ccc,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,506,Right,1,,,WGS84,,,,2016-03-11,2016-04-21,NEON.PLA.D02.BLAN.06286,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
5b51523a-3f71-453f-9247-0c0f4cb8dfac,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,498,Right,2,,,WGS84,,,,2016-03-11,2016-04-21,NEON.PLA.D02.BLAN.06288,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
9ad58090-46ca-42dc-b1d8-0a322812ee02,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,497,Left,1,,,WGS84,,,,2016-03-11,2016-04-21,NEON.PLA.D02.BLAN.06289,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
6d120ca1-c9cd-433f-bf50-ec27d311c015,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,476,Left,2,,,WGS84,,,,2016-03-11,2016-04-21,NEON.PLA.D02.BLAN.06300,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
384b9fe4-26c0-4cf5-9d17-a95c53f9687c,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,537,Left,1.8,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06204,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
e017b5d0-a189-4325-be51-7c74618f928d,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,461,Right,4.1,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06247,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
4ef20df4-5c66-4290-851b-36d77f681c0c,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,571,Right,7.4,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06207,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
1d560ff1-2643-4643-a062-516b8b8014a3,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,607,Right,3.2,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06210,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
67704298-9bd0-4457-b586-7277ba4c4a62,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,502,Left,3.4,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06249,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
53f706e2-dfb9-4427-bf9d-e42f4c821f7f,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,575,Right,2.1,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06208,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
b14f7562-ade2-4eb6-8aa6-3d76167d24aa,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,646,Right,1,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06213,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
354da55e-566a-4977-b02c-1baff600bcb6,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,462,Left,1.9,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06244,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
98f9e8a8-ad03-4464-a88d-fee067d85da2,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,455,Left,6,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06246,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
ebccec78-38dd-4887-aac4-1061891f95f9,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,8,Right,2.8,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06222,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
9acb1d4d-1bb9-4f83-9711-75eb364f06d5,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,218,Left,3.4,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06236,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
68108a11-8935-44c6-ac94-8d42a73e9c14,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,162,Left,2.4,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06233,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
c2d290db-3221-4f29-b74a-8a1eeac806a6,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,298,Right,2.6,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06240,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
3f7a9fbb-a744-43a5-995a-b7e04746d79d,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,269,Right,5,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06238,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
b4b1a192-d584-491b-a9d8-78838523c560,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,220,Right,4.1,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06237,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
b6c04b3b-326d-42b7-998b-8fb4d94b4ce2,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,94,Left,4.4,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06228,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
aa4fc960-e972-48d0-8c5a-4b78c971c5c3,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,305,Right,2.7,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06241,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
2e8e846a-060d-4bf1-bbf0-ced6f4cde389,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,15,Left,2.8,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06223,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
4365fe0c-0877-4b82-842b-2b41aa5711b9,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,319,Right,1.3,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06242,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
671bb4ee-f7d3-488d-aabe-17cc18d35731,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,325,Left,5.5,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06243,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
5de8a7ee-53bf-42e1-b0fd-473999e1d058,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,81,Right,4,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06227,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
b8f3736f-a810-4d82-bac4-dd73d176c9c6,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,44,Right,3.6,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06226,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
58e36fb6-2055-42bd-84f4-5334308bccd3,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,109,Right,2.8,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06229,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
3813cb3b-a082-4046-a098-75764ed67d78,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,209,Left,2.1,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06235,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
893f3285-427d-413d-b737-84d65633e24a,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,280,Right,2.1,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06239,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
70c0310d-f1a0-4d9e-a166-3ba08aab22d2,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,139,Left,2.3,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06231,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
5975fbb9-90b6-4094-9a63-3e4eec0aa046,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,38,Left,1.5,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06225,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
b44c916c-2a96-4848-9443-d73c377be3c8,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,117,Right,5.8,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06230,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
08265bd1-83cc-455d-9524-d98494780021,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,181,Right,1.3,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06234,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
dad72b25-3a9c-4d2f-af54-988f59e145b5,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,730,Right,2.9,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06217,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
a7c79009-8bb2-4511-b033-83b279f7ee66,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,163,Right,5,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06232,LOMA6,Lonicera maackii (Rupr.) Herder,cf. species,species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
e22babcd-ea5c-4239-b703-0243c1a2c16a,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,775,Right,1,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06221,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
111b11d2-5b6d-4464-8848-4e381bc6eaf5,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,752,Left,1,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06219,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
e472ac6e-e8aa-46b8-9992-3a6bcf5ecf0a,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,16,Left,4.8,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06224,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
fcbd1cf4-3dc2-426a-a31a-6d6ec642fc92,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,742,Left,2.9,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06218,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
910cd3ed-66e2-4ae5-a367-933b09257443,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,753,Left,1.5,,,WGS84,,,,2016-03-28,2016-04-22,NEON.PLA.D02.BLAN.06220,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",shackley@neoninc.org,shackley@neoninc.org,gchapman@neoninc.org,"",,20200511T151500Z,undetermined
