name,pubCode,description,startDate,endDate
"phe.canopyPosition","Full shade","Individuals that receive no direct sunlight either from above or the sides",2012-01-01T00:00:00Z,2017-06-01T00:00:00Z
"phe.canopyPosition","Full shade","Individuals that receive no direct sunlight either from above or the sides",2012-01-01T00:00:00Z,
"phe.growthForm","Cactus","Any member of the family Cactaceae; plants typically have succulent stems and branches with scales or spines instead of leaves",2012-01-01T00:00:00Z,
"phe.growthForm","Deciduous broadleaf","Woody plants bearing flat leaves and dormant buds that are large enough to observe; leaves present during growing season then senesce and fall off during dormant periods (typically winter)",2012-01-01T00:00:00Z,
"phe.growthForm","Deciduous conifer","Cone bearing trees; needles last through a single growing season then senesce and fall off during dormant periods",2012-01-01T00:00:00Z,
"phe.growthForm","Drought deciduous broadleaf","Dryland-adapted woody plants bearing flat leaves and dormant leaf buds that are too small to observe; leaves may be evergreen in most years or  may regularly senesce and drop during dry periods",2012-01-01T00:00:00Z,
"phe.growthForm","Evergreen broadleaf","Woody plants bearing flat leaves; leaves may persist for multiple growing seasons, no distinct dormant period",2012-01-01T00:00:00Z,
"phe.growthForm","Evergreen conifer","Cone bearing plants where needles spread apart during stem elongation (unlike members of the genus Pinus); needles persist for multiple growing seasons",2012-01-01T00:00:00Z,
"phe.growthForm","Evergreen forb","Non-woody forbs with aboveground leaf or leaf-like structures that persist for multiple years",2012-01-01T00:00:00Z,
"phe.growthForm","Forb","Annual, biennial, and perennial herbaceous flowering plants and sub-shrubs with no aboveground woody structures; typically die back to the ground in dormant periods",2012-01-01T00:00:00Z,
"phe.growthForm","Graminoid","Grasses and grass-like plants; includes all members of the families Poaceae (true grasses), Cyperaceae (sedges), and Juncaceae (rushes)",2012-01-01T00:00:00Z,
"phe.growthForm","Pine","Cone bearing plants of the genus Pinus; needles, bundled in sets of 1-6, spread apart after stem (candle) elongation; needles persist for multiple growing seasons",2012-01-01T00:00:00Z,
"phe.growthForm","Semi-evergreen broadleaf","Woody plants bearing flat leaves and dormant leaf buds that are large enough to observe; leaves are typically evergreen in mild climates but may senesce and drop leaves in more extreme climates or under stress conditions",2012-01-01T00:00:00Z,
"phe.growthForm","Evergreen broadleaf - no leaf buds","Woody plants bearing flat leaves; leaves may persist for multiple growing seasons, no distinct dormant period, does not produce dormant leaf buds",2012-01-01T00:00:00Z,
"phe.growthForm","Evergreen conifer - no needles","Cone bearing plants that do not produce needles or dormant buds",2018-01-01T00:00:00Z,
"phe.growthForm","Evergreen broadleaf - no leaves","Woody plants bearing flat leaves, leaves may be absent or indistinguishable; no distinct dormant period",2012-01-01T00:00:00Z,
"phe.patchOrIndividual","Individual","Individual",2012-01-01T00:00:00Z,
"phe.patchOrIndividual","Patch","Patch",2012-01-01T00:00:00Z,
"phe.phenophaseIntensity","< 5%","< 5%",2012-01-01T00:00:00Z,
"phe.phenophaseIntensity","< 25%","< 25%",2012-01-01T00:00:00Z,
"phe.phenophaseIntensity","5-24%","5-24%",2012-01-01T00:00:00Z,
"phe.phenophaseIntensity","25-49%","25-49%",2012-01-01T00:00:00Z,
"phe.phenophaseIntensity","50-74%","50-74%",2012-01-01T00:00:00Z,
"phe.phenophaseIntensity","75-94%","75-94%",2012-01-01T00:00:00Z,
"phe.phenophaseIntensity",">= 95%",">= 95%",2012-01-01T00:00:00Z,
"phe.phenophaseIntensity","< 3","< 3",2012-01-01T00:00:00Z,
"phe.phenophaseIntensity","3 to 10","3 to 10",2012-01-01T00:00:00Z,
"phe.phenophaseIntensity","11 to 100","11 to 100",2012-01-01T00:00:00Z,
"phe.phenophaseIntensity","101 to 1000","101 to 1000",2012-01-01T00:00:00Z,
"phe.phenophaseIntensity","1001 to 10000","1001 to 10000",2012-01-01T00:00:00Z,
"phe.phenophaseIntensity","> 10000","> 10000",2012-01-01T00:00:00Z,
"phe.phenophaseName","Breaking leaf buds","Breaking leaf buds",2012-01-01T00:00:00Z,
"phe.phenophaseName","Breaking needle buds","Breaking needle buds",2012-01-01T00:00:00Z,
"phe.phenophaseName","Colored leaves","Colored leaves",2012-01-01T00:00:00Z,
"phe.phenophaseName","Colored needles","Colored needles",2012-01-01T00:00:00Z,
"phe.phenophaseName","Emerging needles","Emerging needles",2012-01-01T00:00:00Z,
"phe.phenophaseName","Falling leaves","Falling leaves",2012-01-01T00:00:00Z,
"phe.phenophaseName","Falling needles","Falling needles",2012-01-01T00:00:00Z,
"phe.phenophaseName","Increasing leaf size","Increasing leaf size",2012-01-01T00:00:00Z,
"phe.phenophaseName","Initial growth","Initial growth",2012-01-01T00:00:00Z,
"phe.phenophaseName","Leaves","Leaves",2012-01-01T00:00:00Z,
"phe.phenophaseName","Needles","Needles",2012-01-01T00:00:00Z,
"phe.phenophaseName","Open flowers","Open flowers",2012-01-01T00:00:00Z,
"phe.phenophaseName","Open pollen cones","Open pollen cones",2012-01-01T00:00:00Z,
"phe.phenophaseName","Young leaves","Young leaves",2012-01-01T00:00:00Z,
"phe.phenophaseName","Young needles","Young needles",2012-01-01T00:00:00Z,
"phe.phenophaseStatus","yes","yes",2012-01-01T00:00:00Z,
"phe.phenophaseStatus","no","no",2012-01-01T00:00:00Z,
"phe.phenophaseStatus","missed","missed",2012-01-01T00:00:00Z,
"phe.phenophaseStatus","uncertain","uncertain",2012-01-01T00:00:00Z,
"phe.plantStatus","Live","Any live, undamaged individual (new, re-measured or ingrowth)",2012-01-01T00:00:00Z,
"phe.plantStatus","Live, insect damaged","Visible damage caused by insects; note 'crown' or 'bole' damage in remarks, and indicate type of insect causing damage if possible (e.g. mountain pine beetle, gypsy moth, etc.)",2012-01-01T00:00:00Z,
"phe.plantStatus","Live, disease damaged","Visible damage cause by disease; note 'crown' or 'bole' damage in remarks, and indicate type of disease causing damage if possible (e.g., Blister Rust, rot, canker, other (specify), unknown.",2012-01-01T00:00:00Z,
"phe.plantStatus","Live, physically damaged","Visible damage not caused by disease or insects; note 'crown' or 'bole damage in remarks, and indicate type of physical damage if possible (e.g., broken stem, bole scar, girdling, snow/ice damage, crushed, lightning, crown scorch, bole scorch)",2012-01-01T00:00:00Z,
"phe.plantStatus","Live, other damage","Visible damage of unknown origin; note 'crown' or 'bole' damage in remarks, and note cause if possible.",2012-01-01T00:00:00Z,
"phe.samplingProtocolVersion","NEON.DOC.014040vD","Plant phenology protocol version D",2012-01-01T00:00:00Z,
"phe.samplingProtocolVersion","NEON.DOC.014040vH","Plant phenology protocol version H",2012-01-01T00:00:00Z,
"phe.samplingProtocolVersion","NEON.DOC.014040vJ","Plant phenology protocol version J",2012-01-01T00:00:00Z,
"phe.samplingProtocolVersion","NEON.DOC.014040vK","Plant phenology protocol version K",2012-01-01T00:00:00Z,
"phe.samplingProtocolVersion","NEON.DOC.014040vL","Plant phenology protocol version L",2012-01-01T00:00:00Z,
"Yes or No choice","Y","Yes",2012-01-01T00:00:00Z,
"Yes or No choice","N","No",2012-01-01T00:00:00Z,
